run_id,algo,direction,obs,reward,seed,timesteps,completion,trailer_cte,max_hitch,jackknife,ep_return,n_episodes
td3__forward__lidar24__dense__s0,td3,forward,lidar24,dense,0,100000,0.0,1.523228714094298,0.37307401015035185,0.0,-1168.412008515848,1536
td3__forward__lidar24__dense__s0,td3,forward,lidar24,dense,0,200000,0.9767441860465116,1.0403220094847236,0.29032598389673603,0.0,-174.3182258447912,258
td3__forward__lidar24__dense__s0,td3,forward,lidar24,dense,0,300000,1.0,0.48284074926047366,0.1033217797667021,0.0,574.1040003933012,256
td3__forward__lidar24__dense__s0,td3,forward,lidar24,dense,0,400000,1.0,0.4300472797537934,0.12824251085112337,0.0,582.4251669368305,256
td3__forward__lidar24__dense__s0,td3,forward,lidar24,dense,0,500000,1.0,1.059098558329925,0.12218951637623832,0.0,244.4282501624075,256
td3__forward__lidar24__dense__s1,td3,forward,lidar24,dense,1,100000,0.0,1.1820906539840936,0.8045463705348084,0.0,-494.7984642344978,4096
td3__forward__lidar24__dense__s1,td3,forward,lidar24,dense,1,200000,0.0,1.1829687291854993,0.8047279333986808,0.0,-494.70749931606707,4096
td3__forward__lidar24__dense__s1,td3,forward,lidar24,dense,1,300000,0.0,1.1822211620113434,0.8041072361666011,0.0,-494.7084495940018,4096
td3__forward__lidar24__dense__s1,td3,forward,lidar24,dense,1,400000,0.0,1.1794938476812034,0.8050170940550743,0.0,-494.8100743601452,4096
td3__forward__lidar24__dense__s1,td3,forward,lidar24,dense,1,500000,0.0,1.1820820072916192,0.8048051465157187,0.0,-494.8064084579943,4096
td3__forward__lidar24__dense__s2,td3,forward,lidar24,dense,2,100000,0.0,1.4798211829000147,0.7055046594212832,0.0,-668.7199638028111,1023
td3__forward__lidar24__dense__s2,td3,forward,lidar24,dense,2,200000,1.0,1.1994785710456664,0.09862841665744781,0.0,-71.53204980523378,256
td3__forward__lidar24__dense__s2,td3,forward,lidar24,dense,2,300000,1.0,0.9375766311052508,0.10793757931969594,0.0,320.3770862627132,256
td3__forward__lidar24__dense__s2,td3,forward,lidar24,dense,2,400000,1.0,0.5821983330324217,0.1358150971645955,0.0,542.9453051167515,256
